Species,Target As,Game,Location,Environment,Time,Weater,Season,SOS
Raikou,Raikou,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Entei,Entei,Ultra Moon,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Suicune,Suicune,Ultra Sun,Ultra Space Wilds - Water,Requires Entei & Raikou,All Day,N/A,N/A,N/A
Larvitar,Larvitar,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pupitar,Pupitar,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tyranitar,Pupitar,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lugia,Lugia,Ultra Moon,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Ho-Oh,Ho-Oh,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Celebi,Celebi,Pokémon Crystal,Ilex Forest,Interact,All,N/A,N/A,N/A
Treecko,Treecko,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Grovyle,Treecko,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sceptile,Treecko,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Torchic,Torchic,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Combusken,Torchic,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Blaziken,Torchic,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mudkip,Mudkip,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Marshtomp,Mudkip,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swampert,Mudkip,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Poochyena,Poochyena,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mightyena,Mightyena,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zigzagoon,Zigzagoon,Diamond,Route 202,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Linoone,Zigzagoon,Diamond,Route 202,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Wurmple,Wurmple,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Silcoon,Silcoon,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Beautifly,Beautifly,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Cascoon,Cascoon,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Dustox,Dustox,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Lotad,Lotad,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lombre,Lombre,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ludicolo,Lombre,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Seedot,Seedot,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Nuzleaf,Nuzleaf,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shiftry,Nuzleaf,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Taillow,Taillow,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Swellow,Swellow,Diamond,Route 213,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Wingull,Wingull,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pelipper,Pelipper,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ralts,Ralts,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Kirlia,Kirlia,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gardevoir,Gardevoir,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Surskit,Surskit,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Masquerain,Masquerain,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shroomish,Shroomish,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Breloom,Breloom,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Slakoth,Slakoth,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vigoroth,Vigoroth,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Slaking,Slaking,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Nincada,Nincada,Diamond,Eterna Forest,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Ninjask,Nincada,Diamond,Eterna Forest,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Shedinja,Nincada,Diamond,Eterna Forest,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Whismur,Whismur,Omega Ruby,Rusturf Tunnel,Horde,N/A,N/A,N/A,N/A
Loudred,Loudred,Diamond,Mt. Coronet - Top,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Exploud,Loudred,Diamond,Mt. Coronet - Top,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Makuhita,Makuhita,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hariyama,Hariyama,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Azurill,Azurill,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Nosepass,Nosepass,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Skitty,Skitty,Diamond,Route 222,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Delcatty,Skitty,Diamond,Route 222,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Sableye,Sableye,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mawile,Mawile,Diamond,Iron Island - B1F Left Cave,Ruby Inserted- PokeRadar,N/A,N/A,N/A,N/A
Aron,Aron,Diamond,Fuego Ironworks,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Lairon,Lairon,X,Route 18,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Aggron,Lairon,X,Route 18,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Meditite,Meditite,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Medicham,Medicham,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Electrike,Electrike,Diamond,Valley Windworks,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Manectric,Electrike,Diamond,Valley Windworks,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Plusle,Plusle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Minun,Minun,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Volbeat,Volbeat,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Illumise,Illumise,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Roselia,Roselia,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Gulpin,Gulpin,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swalot,Swalot,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Carvanha,Carvanha,Omega Ruby,Route 118,Super Rod,N/A,N/A,N/A,N/A
Sharpedo,Carvanha,Omega Ruby,Route 118,Super Rod,N/A,N/A,N/A,N/A
Wailmer,Wailmer,Omega Ruby,Route 103,Super Rod,N/A,N/A,N/A,N/A
Wailord,Wailmer,Omega Ruby,Route 103,Super Rod,N/A,N/A,N/A,N/A
Numel,Numel,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Camerupt,Camerupt,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Torkoal,Torkoal,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Spoink,Spoink,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Grumpig,Grumpig,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Spinda,Spinda,Diamond,Route 227,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Trapinch,Trapinch,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vibrava,Vibrava,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Flygon,Flygon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cacnea,Cacnea,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cacturne,Cacturne,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swablu,Swablu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Altaria,Altaria,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zangoose,Zangoose,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Seviper,Seviper,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lunatone,Lunatone,Diamond,Lake Verity - After Galactic,Sapphire Inserted- PokeRadar,N/A,N/A,N/A,N/A
Solrock,Solrock,Diamond,Lake Verity - After Galactic,Ruby Inserted- PokeRadar,N/A,N/A,N/A,N/A
Barboach,Barboach,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Whiscash,Whiscash,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Corphish,Corphish,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Crawdaunt,Crawdaunt,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Baltoy,Baltoy,Diamond,Route 206,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Claydol,Baltoy,Diamond,Route 206,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Lileep,Lileep,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Cradily,Cradily,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Anorith,Anorith,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Armaldo,Armaldo,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Feebas,Feebas,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Milotic,Feebas,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Castform,Castform,Diamond,Trophy Garden - Daily Pokémon,Walk- PokeRadar,N/A,N/A,N/A,N/A
Kecleon,Kecleon,Diamond,Route 210 - North,PokeRadar- PokeRadar,N/A,N/A,N/A,N/A
Shuppet,Shuppet,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Banette,Banette,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Duskull,Duskull,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dusclops,Dusclops,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tropius,Tropius,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chimecho,Chimecho,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Absol,Absol,Diamond,Route 213,Swarm- PokeRadar,N/A,N/A,N/A,N/A
Wynaut,Wynaut,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Snorunt,Snorunt,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Glalie,Glalie,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Spheal,Spheal,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Sealeo,Sealeo,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Walrein,Walrein,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Clamperl,Clamperl,Ultra Sun,Route 15,Fish,Day,N/A,N/A,Initial
Huntail,Clamperl,Ultra Sun,Route 15,Fish,Day,N/A,N/A,Initial
Gorebyss,Clamperl,Ultra Sun,Route 15,Fish,Day,N/A,N/A,Initial
Relicanth,Relicanth,X,Cyllage City,Super Rod,N/A,N/A,N/A,N/A
Luvdisc,Luvdisc,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bagon,Bagon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shelgon,Shelgon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Salamence,Shelgon,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Beldum,Beldum,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Metang,Metang,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Metagross,Metang,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Regirock,Regirock,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Regice,Regice,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Registeel,Registeel,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Latias,Latias,Ultra Moon,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Latios,Latios,Ultra Sun,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Kyogre,Kyogre,Ultra Moon,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Groudon,Groudon,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Rayquaza,Rayquaza,Ultra Sun,Ultra Space Wilds - Cliff,Requires Kyogre & Groudon,All Day,N/A,N/A,N/A
Jirachi,Jirachi,Ruby,Wishmaker Disc,Event,N/A,N/A,N/A,N/A
Deoxys,Deoxys,Emerald,Birth Island,Interact,N/A,N/A,N/A,N/A
Turtwig,Turtwig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Grotle,Turtwig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Torterra,Turtwig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chimchar,Chimchar,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Monferno,Chimchar,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Infernape,Chimchar,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Piplup,Piplup,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Prinplup,Piplup,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Empoleon,Piplup,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Starly,Starly,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Staravia,Staravia,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Staraptor,Staraptor,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bidoof,Bidoof,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Bibarel,Bibarel,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Kricketot,Kricketot,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Kricketune,Kricketune,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shinx,Shinx,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Luxio,Luxio,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Luxray,Luxray,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Budew,Budew,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Roserade,Roserade,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Cranidos,Cranidos,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Rampardos,Cranidos,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shieldon,Shieldon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bastiodon,Shieldon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Burmy,Burmy,X,Route 3,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Wormadam,Burmy,X,Route 3,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Mothim,Burmy,X,Route 3,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Combee,Combee,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vespiquen,Vespiquen,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pachirisu,Pachirisu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Buizel,Buizel,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Floatzel,Floatzel,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cherubi,Cherubi,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Cherrim,Cherrim,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Shellos,Shellos,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gastrodon,Gastrodon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ambipom,Aipom,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Drifloon,Drifloon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Drifblim,Drifblim,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Buneary,Buneary,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Lopunny,Lopunny,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Mismagius,Mismagius,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Honchkrow,Honchkrow,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Glameow,Glameow,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Purugly,Purugly,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Chingling,Chingling,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Stunky,Stunky,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Skuntank,Skuntank,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bronzor,Bronzor,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bronzong,Bronzong,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bonsly,Bonsly,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mime Jr.,Mime Jr.,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Happiny,Happiny,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chatot,Chatot,Legends: Arceus,Obsidian Fieldlands: Massive Mass Outbreak,Obsidian Fieldlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Spiritomb,Spiritomb,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Gible,Gible,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gabite,Gabite,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Garchomp,Gabite,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Munchlax,Munchlax,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Riolu,Riolu,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lucario,Lucario,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hippopotas,Hippopotas,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hippowdon,Hippowdon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Skorupi,Skorupi,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Drapion,Drapion,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Croagunk,Croagunk,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Toxicroak,Toxicroak,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Carnivine,Carnivine,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Finneon,Finneon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lumineon,Lumineon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mantyke,Mantyke,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Snover,Snover,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Abomasnow,Abomasnow,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Weavile,Weavile,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magnezone,Magneton,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lickilicky,Lickilicky,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Rhyperior,Rhydon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tangrowth,Tangrowth,Legends: Arceus,Crimson Mirelands: Massive Mass Outbreak,Crimson Mirelands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Electivire,Electabuzz,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Magmortar,Magmar,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Togekiss,Togekiss,Legends: Arceus,Cobalt Coastlands: Massive Mass Outbreak,Cobalt Coastlands: Massive Mass Outbreak,N/A,N/A,N/A,N/A
Yanmega,Yanma,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Leafeon,Leafeon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Glaceon,Glaceon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gliscor,Gligar,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mamoswine,Piloswine,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Porygon-Z,Porygon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gallade,Gallade,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Probopass,Nosepass,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dusknoir,Dusclops,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Froslass,Froslass,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Rotom,Rotom,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Uxie,Uxie,Ultra Sun,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Mesprit,Mesprit,Ultra Sun,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Azelf,Azelf,Ultra Sun,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Dialga,Dialga,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Palkia,Palkia,Ultra Moon,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
